"Date","Page Views","Unique IPs","Sessions","Return IPs","Visitors","[New%/Return%]","Exit Rate","Max User Online","Social Referer(%)","Search Referer(%)","Mobile PV(%)","Daily pv target","gap value","gap%","week start","week end","week label","week sort","Actual Stack Fill","","","","","","",""
"29/12/2025","23,233","16,866","19,084","3,382","17,592","[75.98/26.76]","86.8","126 (11:04 น.)","14.2","50.8","74.64","41,300","-18,067.00","-43.75%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","23,233","","","","","","",""
"30/12/2025","20,684","15,019","16,947","3,046","15,612","[75.44/27.15]","86.54","88 (14:52 น.)","18.45","50.29","76.25","41,300","-20,616.00","-49.92%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","20,684","","","","","","",""
"31/12/2025","17,656","12,867","14,502","2,539","13,321","[78.85/24.26]","86.67","80 (16:09 น.)","13.03","53.77","82.48","41,300","-23,644.00","-57.25%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","17,656","","","","","","",""
"1/1/2026","16,827","12,492","14,038","2,239","12,950","[74.40/27.77]","88.07","78 (20:42 น.)","15.9","43.91","83.07","41,300","-24,473.00","-59.26%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","16,827","","","","","","",""
"2/1/2026","29,507","20,127","22,528","4,303","21,020","[78.91/23.42]","84.78","275 (15:55 น.)","23.92","38.94","87.82","41,300","-11,793.00","-28.55%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","29,507","","","","","","",""
"3/1/2026","28,123","20,583","22,819","4,161","21,549","[81.68/20.14]","85.59","110 (09:55 น.)","40.25","29.42","88.24","41,300","-13,177.00","-31.91%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","28,123","","","","","","",""
"4/1/2026","21,391","15,174","17,092","3,333","15,847","[77.54/24.88]","84.28","93 (08:44 น.)","28.31","36.96","83.43","41,300","-19,909.00","-48.21%","29/12/2025","4/1/2026","29/12/2025 - 04/01/2026","29/12/2025","21,391","","","","","","",""
"5/1/2026","25,526","17,985","20,646","3,933","18,930","[76.46/26.52]","85.42","108 (17:22 น.)","18.07","47.97","70.34","41,300","-15,774.00","-38.19%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","25,526","","","","","","",""
"6/1/2026","27,230","19,206","22,118","4,176","20,326","[70.96/31.42]","85.04","109 (09:56 น.)","12.78","45.52","73.34","41,300","-14,070.00","-34.07%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","27,230","","","","","","",""
"7/1/2026","28,747","20,476","23,258","4,379","21,491","[74.24/27.98]","84.74","133 (17:03 น.)","21.57","37.82","75.95","41,300","-12,553.00","-30.39%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","28,747","","","","","","",""
"8/1/2026","28,125","19,559","22,452","4,337","20,737","[72.62/29.49]","84.04","116 (09:38 น.)","15.53","36.23","74.77","41,300","-13,175.00","-31.90%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","28,125","","","","","","",""
"9/1/2026","21,637","13,331","16,105","3,136","14,287","[73.23/29.80]","82.21","98 (10:17 น.)","15.7","39.48","62.64","41,300","-19,663.00","-47.61%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","21,637","","","","","","",""
"10/1/2026","20,644","11,102","14,137","2,381","11,852","[76.29/29.45]","80.81","111 (20:43 น.)","12.62","35.23","59.5","41,300","-20,656.00","-50.01%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","20,644","","","","","","",""
"11/1/2026","19,692","11,846","14,338","2,406","12,595","[75.33/28.82]","83.51","82 (18:10 น.)","14.21","36.49","67.55","41,300","-21,608.00","-52.32%","5/1/2026","11/1/2026","05/01/2026 - 11/01/2026","5/1/2026","19,692","","","","","","",""
"12/1/2026","21,884","14,463","17,411","3,253","15,514","[73.79/29.79]","84.79","104 (13:23 น.)","16.76","44.31","62.97","41,300","-19,416.00","-47.01%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","21,884","","","","","","",""
"13/1/2026","21,639","14,190","17,321","3,173","15,237","[74.08/29.89]","85.1","99 (09:33 น.)","14","45.7","63.47","41,300","-19,661.00","-47.61%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","21,639","","","","","","",""
"14/1/2026","23,406","15,331","18,876","3,430","16,478","[73.61/30.84]","85.35","115 (10:27 น.)","14.16","46.48","61.97","41,300","-17,894.00","-43.33%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","23,406","","","","","","",""
"15/1/2026","23,556","15,663","19,214","3,475","16,942","[73.34/30.88]","85.82","161 (09:30 น.)","12.49","46.84","65.03","41,300","-17,744.00","-42.96%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","23,556","","","","","","",""
"16/1/2026","19,953","13,390","16,257","2,978","14,279","[73.54/30.86]","85.7","96 (11:20 น.)","9.92","49.11","66.35","41,300","-21,347.00","-51.69%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","19,953","","","","","","",""
"17/1/2026","35,351","20,529","23,222","5,723","21,264","[79.93/23.68]","78.27","740 (16:15 น.)","4.72","51.55","88.22","41,300","-5,949.00","-14.40%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","35,351","","","","","","",""
"18/1/2026","21,519","13,936","15,969","3,210","14,565","[73.31/30.29]","82.77","76 (21:06 น.)","10.98","42.31","81.35","41,300","-19,781.00","-47.90%","12/1/2026","18/1/2026","12/01/2026 - 18/01/2026","12/1/2026","21,519","","","","","","",""
"19/1/2026","33,407","21,897","25,799","4,697","23,359","[71.81/31.82]","84.57","120 (13:32 น.)","10.4","37.64","71.18","41,300","-7,893.00","-19.11%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","33,407","","","","","","",""
"20/1/2026","30,103","18,741","22,491","4,202","19,991","[72.68/31.07]","83.93","135 (11:42 น.)","11.59","37.25","65.93","41,300","-11,197.00","-27.11%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","30,103","","","","","","",""
"21/1/2026","30,936","19,675","23,370","4,489","20,905","[74.58/29.12]","83.64","135 (14:32 น.)","10.92","41.21","67","41,300","-10,364.00","-25.09%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","30,936","","","","","","",""
"22/1/2026","26,347","17,333","20,577","3,768","18,310","[74.94/28.63]","84.74","141 (09:42 น.)","12.49","45.47","65.76","41,300","-14,953.00","-36.21%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","26,347","","","","","","",""
"23/1/2026","20,909","14,200","16,814","3,114","14,995","[73.78/29.54]","85.38","93 (09:32 น.)","14.85","46.07","67.6","41,300","-20,391.00","-49.37%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","20,909","","","","","","",""
"24/1/2026","19,351","13,632","15,595","2,854","14,139","[76.69/26.73]","84.83","137 (11:20 น.)","21.21","43.52","78.5","41,300","-21,949.00","-53.15%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","19,351","","","","","","",""
"25/1/2026","14,755","10,328","11,920","2,179","10,721","[76.45/27.23]","85.44","56 (19:21 น.)","14.55","47.35","77.73","41,300","-26,545.00","-64.27%","19/1/2026","25/1/2026","19/01/2026 - 25/01/2026","19/1/2026","14,755","","","","","","",""
"26/1/2026","21,696","14,707","17,373","3,290","15,518","[71.59/31.25]","84.3","149 (10:12 น.)","14.32","46.21","66.35","41,300","-19,604.00","-47.47%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","21,696","","","","","","",""
"27/1/2026","20,797","13,689","16,280","3,206","14,512","[71.53/31.35]","83.93","96 (16:02 น.)","17.22","42.28","64.53","41,300","-20,503.00","-49.64%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","20,797","","","","","","",""
"28/1/2026","30,380","21,244","24,338","4,373","22,359","[71.00/31.28]","85.66","149 (14:09 น.)","11.88","39","74.84","41,300","-10,920.00","-26.44%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","30,380","","","","","","",""
"29/1/2026","33,272","23,661","27,073","4,736","24,982","[72.92/29.27]","86.04","130 (14:01 น.)","16.52","36.74","76.01","41,300","-8,028.00","-19.44%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","33,272","","","","","","",""
"30/1/2026","26,371","17,991","20,954","3,679","18,909","[71.75/31.10]","84.79","120 (18:07 น.)","14.9","39.35","73.14","41,300","-14,929.00","-36.15%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","26,371","","","","","","",""
"31/1/2026","25,653","18,566","21,169","3,547","19,284","[78.37/24.80]","86.41","113 (13:34 น.)","19.56","44.86","81.68","41,300","-15,647.00","-37.89%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","25,653","","","","","","",""
"1/2/2026","40,574","29,684","33,561","5,941","30,983","[80.77/23.00]","87.12","534 (15:56 น.)","8.8","55.13","89.56","41,300","-726.00","-1.76%","26/1/2026","1/2/2026","26/01/2026 - 01/02/2026","26/1/2026","40,574","","","","","","",""
"2/2/2026","31,728","21,176","24,528","4,819","22,170","[72.43/30.60]","84.08","211 (10:55 น.)","8.42","44.21","76.94","41,300","-9,572.00","-23.18%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","31,728","","","","","","",""
"3/2/2026","25,271","16,455","19,442","3,476","17,395","[72.50/30.42]","84.48","139 (11:11 น.)","13.54","41.82","67.09","41,300","-16,029.00","-38.81%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","25,271","","","","","","",""
"4/2/2026","25,612","17,208","20,163","3,703","18,099","[68.75/33.80]","84.77","114 (12:32 น.)","15.79","37.72","68.91","41,300","-15,688.00","-37.99%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","25,612","","","","","","",""
"5/2/2026","26,211","17,129","20,305","3,723","18,079","[68.81/34.23]","83.63","137 (12:10 น.)","19.53","34.79","67.61","41,300","-15,089.00","-36.54%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","26,211","","","","","","",""
"6/2/2026","25,207","16,636","19,754","3,364","17,515","[73.01/30.01]","85.12","110 (10:07 น.)","11.8","43.59","66.43","41,300","-16,093.00","-38.97%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","25,207","","","","","","",""
"7/2/2026","25,455","18,082","20,901","3,296","18,951","[78.02/25.71]","86.58","118 (11:16 น.)","11.78","50.46","76.71","41,300","-15,845.00","-38.37%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","25,455","","","","","","",""
"8/2/2026","201,106","69,005","95,281","26,944","79,521","[90.86/17.48]","71.46","1,728 (19:57 น.)","34.34","11.84","74.83","41,300","159,806.00","386.94%","2/2/2026","8/2/2026","02/02/2026 - 08/02/2026","2/2/2026","201,106","","","","","","",""
"9/2/2026","87,285","45,624","55,759","13,306","48,854","[76.43/26.93]","78.91","529 (09:10 น.)","20.81","30.7","73.55","41,300","45,985.00","111.34%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","87,285","","","","","","",""
"10/2/2026","31,856","20,926","24,434","4,746","21,994","[70.98/31.67]","84.02","129 (12:10 น.)","15.79","41.15","71.15","41,300","-9,444.00","-22.87%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","31,856","","","","","","",""
"11/2/2026","27,510","18,492","21,988","4,117","19,624","[72.35/30.86]","85.16","126 (09:32 น.)","14.39","41.28","68.89","41,300","-13,790.00","-33.39%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","27,510","","","","","","",""
"12/2/2026","28,305","19,465","22,598","4,234","20,468","[70.91/31.75]","84.88","163 (09:47 น.)","19.49","37.39","71.28","41,300","-12,995.00","-31.46%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","28,305","","","","","","",""
"13/2/2026","22,434","15,018","17,817","3,230","15,809","[70.90/32.20]","84.31","105 (14:33 น.)","16.85","38.95","67.37","41,300","-18,866.00","-45.68%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","22,434","","","","","","",""
"14/2/2026","22,761","16,224","18,528","3,175","16,931","[74.34/28.63]","85.7","131 (23:18 น.)","12.23","41.11","80.29","41,300","-18,539.00","-44.89%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","22,761","","","","","","",""
"15/2/2026","108,759","74,783","85,980","20,542","81,403","[79.69/22.98]","81.99","415 (06:12 น.)","3.18","39.5","95.4","41,300","67,459.00","163.34%","9/2/2026","15/2/2026","09/02/2026 - 15/02/2026","9/2/2026","108,759","","","","","","",""
"16/2/2026","90,149","66,629","76,800","14,418","72,043","[78.55/24.54]","88.04","361 (09:44 น.)","4.17","55.18","88.76","41,300","48,849.00","118.28%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","90,149","","","","","","",""
"17/2/2026","37,000","27,012","30,680","5,155","28,334","[73.36/29.25]","87.03","159 (09:55 น.)","10.72","45.56","78.7","41,300","-4,300.00","-10.41%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","37,000","","","","","","",""
"18/2/2026","28,086","19,144","22,430","4,120","20,209","[72.44/30.40]","85.11","126 (09:40 น.)","20.02","37.94","70.74","41,300","-13,214.00","-32.00%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","28,086","","","","","","",""
"19/2/2026","22,799","14,907","17,925","3,229","15,775","[70.59/32.84]","84.06","113 (14:50 น.)","16.2","40.01","64.86","41,300","-18,501.00","-44.80%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","22,799","","","","","","",""
"20/2/2026","23,276","15,173","18,477","3,266","16,514","[72.50/30.54]","84.87","132 (10:15 น.)","23.25","35.01","66.17","41,300","-18,024.00","-43.64%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","23,276","","","","","","",""
"21/2/2026","18,459","12,553","14,671","2,566","13,154","[73.10/30.04]","84.47","77 (20:42 น.)","18.54","39.7","73.94","41,300","-22,841.00","-55.31%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","18,459","","","","","","",""
"22/2/2026","17,131","11,596","13,607","2,495","12,188","[73.56/30.00]","83.83","85 (17:32 น.)","15.45","39.86","75.35","41,300","-24,169.00","-58.52%","16/2/2026","22/2/2026","16/02/2026 - 22/02/2026","16/2/2026","17,131","","","","","","",""
"23/2/2026","27,179","18,970","21,900","3,937","19,914","[72.03/30.74]","85.28","134 (10:31 น.)","13.05","42.69","72.08","41,300","-14,121.00","-34.19%","23/2/2026","1/3/2026","23/02/2026 - 01/03/2026","23/2/2026","27,179","","","","","","",""
