"No","Team Name","from date","to date","week","PV Target","PV Actual","Articles","gap"," Target gap%","PV Actual"
"1","Online Web","2025-12-29","2026-01-04","week1","103,600","36,644","136","66,956","64.63%","36,644"
"1","Online Originals","2025-12-29","2026-01-04","week1","23,100","1,471","10","21,629","93.63%","1,471"
"1","Channel","2025-12-29","2026-01-04","week1","20,300","907","18","19,393","95.53%","907"
"1","รายการเศรษฐกิจ","2025-12-29","2026-01-04","week1","20,300","1,395","69","18,905","93.13%","1,395"
"1","World","2025-12-29","2026-01-04","week1","23,100","8,898","55","14,202","61.48%","8,898"
"1","Wealth","2025-12-29","2026-01-04","week1","20,300","786","16","19,514","96.13%","786"
"1","Health","2025-12-29","2026-01-04","week1","20,300","2,215","26","18,085","89.09%","2,215"
"1","Tech","2025-12-29","2026-01-04","week1","23,100","15,690","48","7,410","32.08%","15,690"
"1","Earth","2025-12-29","2026-01-04","week1","20,300","3,193","57","17,107","84.27%","3,193"
"1","Outsource","2025-12-29","2026-01-04","week1","14,700","562","4","14,138","96.18%","562"
"1","TVS","2025-12-29","2026-01-04","week1","0","4,277","60","-4,277","0.00%","4,277"
"1","Online Web","2026-01-05","2026-01-11","week2","103,600","25,963","173","77,637","74.94%","25,963"
"1","Online Originals","2026-01-05","2026-01-11","week2","23,100","1,193","13","21,907","94.84%","1,193"
"1","Channel","2026-01-05","2026-01-11","week2","20,300","6,784","48","13,516","66.58%","6,784"
"1","รายการเศรษฐกิจ","2026-01-05","2026-01-11","week2","20,300","3,197","70","17,103","84.25%","3,197"
"1","World","2026-01-05","2026-01-11","week2","23,100","4,605","51","18,495","80.06%","4,605"
"1","Wealth","2026-01-05","2026-01-11","week2","20,300","4,849","69","15,451","76.11%","4,849"
"1","Health","2026-01-05","2026-01-11","week2","20,300","8,504","29","11,796","58.11%","8,504"
"1","Tech","2026-01-05","2026-01-11","week2","23,100","6,582","55","16,518","71.51%","6,582"
